URL,Timestamp,HTTP_request,classification
192.168.0.35,04/Mar/2024:12:01:35 +0000,GET /page30 HTTP/1.1 200 5678,okay
192.168.0.36,04/Mar/2024:12:01:36 +0000,GET /page31 HTTP/1.1 200 876,okay
192.168.0.37,04/Mar/2024:12:01:37 +0000,GET /page32 HTTP/1.1 200 2345,okay
192.168.0.38,04/Mar/2024:12:01:38 +0000,GET /page33 HTTP/1.1 200 4567,okay
192.168.0.39,04/Mar/2024:12:01:39 +0000,GET /page34 HTTP/1.1 200 7890,okay
192.168.0.40,04/Mar/2024:12:01:40 +0000,GET /page35 HTTP/1.1 200 9876,okay
192.168.0.41,04/Mar/2024:12:01:41 +0000,GET /page36 HTTP/1.1 200 3456,okay
192.168.0.42,04/Mar/2024:12:01:42 +0000,GET /page37 HTTP/1.1 200 5678,okay
192.168.0.43,04/Mar/2024:12:01:43 +0000,GET /page38 HTTP/1.1 200 876,okay
192.168.0.44,04/Mar/2024:12:01:44 +0000,GET /page39 HTTP/1.1 200 2345,okay
192.168.0.45,04/Mar/2024:12:01:45 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:46 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:47 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:48 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:49 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:45 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:46 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:47 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:48 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:49 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:45 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:46 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:47 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:48 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:49 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:45 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:46 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:47 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:48 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.45,04/Mar/2024:12:01:49 +0000,POST /login HTTP/1.1 500 2875,anomalous
192.168.0.46,04/Mar/2024:12:01:50 +0000,GET /page41 HTTP/1.1 200 4567,okay
192.168.0.47,04/Mar/2024:12:01:51 +0000,GET /page42 HTTP/1.1 200 7890,okay
192.168.0.48,04/Mar/2024:12:01:52 +0000,GET /page43 HTTP/1.1 200 9876,okay
192.168.0.49,04/Mar/2024:12:01:53 +0000,GET /page44 HTTP/1.1 200 3456,okay
192.168.0.50,04/Mar/2024:12:01:54 +0000,GET /page45 HTTP/1.1 200 5678,okay
192.168.0.51,04/Mar/2024:12:01:55 +0000,GET /page46 HTTP/1.1 200 876,okay
192.168.0.52,04/Mar/2024:12:01:56 +0000,GET /page47 HTTP/1.1 200 2345,okay
192.168.0.53,04/Mar/2024:12:01:57 +0000,GET /page48 HTTP/1.1 200 4567,okay
192.168.0.54,04/Mar/2024:12:01:58 +0000,GET /page49 HTTP/1.1 200 7890,okay
192.168.0.55,04/Mar/2024:12:01:59 +0000,GET /page50 HTTP/1.1 200 9876,okay
192.168.0.56,04/Mar/2024:12:02:00 +0000,GET /page51 HTTP/1.1 200 3456,okay
192.168.0.57,04/Mar/2024:12:02:01 +0000,GET /page52 HTTP/1.1 200 5678,okay
192.168.0.58,04/Mar/2024:12:02:02 +0000,GET /page53 HTTP/1.1 200 876,okay
192.168.0.59,04/Mar/2024:12:02:03 +0000,GET /page54 HTTP/1.1 200 2345,okay
192.168.0.60,04/Mar/2024:12:02:04 +0000,GET /page55 HTTP/1.1 200 4567,okay
192.168.0.61,04/Mar/2024:12:02:05 +0000,GET /page56 HTTP/1.1 200 7890,okay
192.168.0.62,04/Mar/2024:12:02:06 +0000,GET /page57 HTTP/1.1 200 9876,okay
192.168.0.63,04/Mar/2024:12:02:07 +0000,GET /page58 HTTP/1.1 200 3456,okay
192.168.0.64,04/Mar/2024:12:02:08 +0000,GET /page59 HTTP/1.1 200 5678,okay
192.168.0.65,04/Mar/2024:12:02:09 +0000,GET /page60 HTTP/1.1 200 876,okay
192.168.0.66,04/Mar/2024:12:02:10 +0000,GET /page61 HTTP/1.1 200 2345,okay
192.168.0.67,04/Mar/2024:12:02:11 +0000,GET /page62 HTTP/1.1 200 4567,okay
192.168.0.68,04/Mar/2024:12:02:12 +0000,GET /page63 HTTP/1.1 200 7890,okay
192.168.0.69,04/Mar/2024:12:02:13 +0000,GET /page64 HTTP/1.1 200 9876,okay
192.168.0.70,04/Mar/2024:12:02:14 +0000,GET /page65 HTTP/1.1 200 3456,okay
